geo_id,County_Name,unemployed_2018,unemployed_2015,u_change,duals_2018,duals_2015,total_duals_diff
06081,San Mateo,16715.0,21095,-4380.0,17874,17986,-112
06013,Contra Costa,28151.0,36646,-8495.0,30286,28666,1620
06095,Solano,10339.0,18444,-8105.0,13587,12761,826
06077,San Joaquin,21006.0,36639,-15633.0,26867,25958,909
06089,Shasta,6299.0,4362,1937.0,9840,9443,397
06061,Placer,7525.0,10573,-3048.0,7642,8098,-456
06097,Sonoma,12129.0,15358,-3229.0,13518,13625,-107
06047,Merced,12839.0,13398,-559.0,11081,10431,650
06031,Kings,5052.0,5102,-50.0,4950,4562,388
06023,Humboldt,6683.0,4571,2112.0,6291,5914,377
06025,Imperial,9087.0,11885,-2798.0,14207,13135,1072
06101,Sutter,3959.0,5260,-1301.0,4635,4776,-141
06039,Madera,7687.0,3945,3742.0,5254,5140,114
06115,Yuba,2710.0,2844,-134.0,3534,3137,397
06099,Stanislaus,22148.0,27558,-5410.0,22423,21692,731
06029,Kern,34223.0,42715,-8492.0,32161,30068,2093
06083,Santa Barbara,13276.0,14224,-948.0,12338,12567,-229
06053,Monterey,8841.0,11001,-2160.0,12778,11788,990
06111,Ventura,19175.0,29142,-9967.0,22911,22407,504
06079,San Luis Obispo,6542.0,6686,-144.0,7391,6624,767
06107,Tulare,20939.0,17523,3416.0,20484,19307,1177
06055,Napa,4015.0,3220,795.0,4492,4251,241
06007,Butte,7961.0,10885,-2924.0,10844,10658,186
06041,Marin,3427.0,4711,-1284.0,5037,4979,58
06113,Yolo,6065.0,8324,-2259.0,6141,6297,-156
06087,Santa Cruz,9573.0,7120,2453.0,8114,7930,184
06045,Mendocino,2389.0,4998,-2609.0,5488,5193,295
06033,Lake,1523.0,2549,-1026.0,4645,4473,172
06057,Nevada,1568.0,3689,-2121.0,3124,2598,526
06017,El Dorado,4073.0,7634,-3561.0,4436,4295,141